requirement_id,slice_id,test_ids,description
VTB-01,vocabulary-temporal-binding,test_shacl_fixtures.py::test_positive_fixtures_conform,"README §4: a complete binding conforms structurally"
VTB-02,vocabulary-temporal-binding,test_shacl_fixtures.py::test_negative_fixtures_do_not_conform,"README §4: forContract is required (missing-for-contract.ttl)"
VTB-03,vocabulary-temporal-binding,test_shacl_fixtures.py::test_negative_fixtures_do_not_conform,"README §4: bindsScheme is required (missing-binds-scheme.ttl)"
VTB-04,vocabulary-temporal-binding,test_shacl_fixtures.py::test_negative_fixtures_do_not_conform,"README §4 invariant 3: a temporal scope must not end before it begins"
VTB-05,vocabulary-temporal-binding,test_resolver.py::test_conjunctive_scope_requires_every_named_scope,"README §4 invariant 2: multiple bindingScope values are conjunctive"
VTB-06,vocabulary-temporal-binding,test_resolver.py::test_strict_superset_precedence,"README §4 invariant 4: a strict scope superset takes precedence"
VTB-07,vocabulary-temporal-binding,"test_shacl_fixtures.py::test_negative_fixtures_do_not_conform,test_resolver.py::test_equal_specificity_conflict_raises","README §4 invariant 4: equal-specificity/incomparable applicable bindings are a conflict, not a silent choice"
VTB-08,vocabulary-temporal-binding,test_resolver.py::test_fallback_used_when_no_binding_applies,"README §4 invariant 5: boundScheme is the fallback when no binding applies"
VTB-09,vocabulary-temporal-binding,test_shacl_fixtures.py::test_negative_fixtures_do_not_conform,"README §4 invariant 6: a scopeless binding must agree with boundScheme"
VTB-10,vocabulary-temporal-binding,test_resolver.py::test_open_ended_binding_remains_eligible_after_start,"README §4: an open-ended binding remains eligible after its start"
VTB-11,vocabulary-temporal-binding,test_determinism.py::test_resolution_is_invariant_under_triple_order,"guide-equivalent determinism: resolution is invariant under triple-order permutation"
VTB-12,vocabulary-temporal-binding,test_consumer_boundary.py::test_resolved_under_is_retained_after_the_binding_it_named_lapses,"README §4 invariant 7: resolvedUnder is not re-resolved retroactively"
VTB-13,vocabulary-temporal-binding,test_shacl_fixtures.py::test_negative_fixtures_do_not_conform,"README §4 invariant 7: a historical record's binding must have been valid at its own resolution time"
VTB-14,vocabulary-temporal-binding,"test_consumer_boundary.py::test_unscoped_context_agrees_with_the_naive_bound_scheme_read,test_consumer_boundary.py::test_scoped_context_diverges_from_the_naive_bound_scheme_read","sketch: a consumer resolves the applicable binding before interpreting a concept-valued property"
A-86,ontology-semantic-versioning,ontology_version_check.py::check,ADR-A86 semantic versioning for ontology documents
OSV-01,ontology-semantic-versioning,ontology_version_check.py::check (mutation probe),"policy §Enforcement: a content change with an unchanged owl:versionIRI is flagged"
OSV-02,ontology-semantic-versioning,ontology_version_check.py::check (mutation probe),"policy §Enforcement: a content change accompanied by a version bump is not flagged"
OSV-03,ontology-semantic-versioning,manual review of ontology-versioning-policy.md baseline-reset table,"ADR-A86: every in-scope document reset to 0.2.0, base URI normalised to lattice/ where applicable"
OSV-04,ontology-semantic-versioning,manual grep for pre-reset IRIs across ontology/ and tools/,"ADR-A86 import-pinning cascade: every owl:imports reference to a bumped IRI updated in the same change"
TBCH-F3,temporal-binding-consumer-hardening,manual review of constraints.ttl/README.md/validation-pack wording,"Finding 3: vvp:resolvedAt clarified as valid-time as-of, not transaction-time recorded-when"
TBCH-F4,temporal-binding-consumer-hardening,test_architecture.py::test_no_module_calls_a_wall_clock_function (mutation probe),"Finding 4: no tools/vocabulary module calls a wall-clock function, mirroring tools/persistence"
TBCH-F1a,temporal-binding-consumer-hardening,"test_surface.py::ResolutionTimeGuardTests::test_scoped_contract_needs_an_explicit_resolution_time,test_surface.py::ResolutionTimeGuardTests::test_unscoped_contract_with_no_reachable_binding_keeps_the_default,test_surface.py::ResolutionTimeGuardTests::test_a_reachable_binding_alone_is_enough_even_without_a_declared_scope","Finding 1, Option B: the CLI refuses an implicit produced_at for exactly the contracts that could resolve a caller-scoped voc:SchemeBinding"
TBCH-F1b,temporal-binding-consumer-hardening,test_surface.py::ResolutionTimeGuardTests::test_regeneration_of_an_unscoped_contract_is_deterministic_across_different_times,"srf:R1 (updated text): an unscoped contract-bound population's output is independent of the resolution instant"
TBCH-F2a,temporal-binding-consumer-hardening,test_surface.py::CompilationTests::test_manifest_records_the_resolution_trace_for_a_bound_scheme_source,"Finding 2: a BoundSchemeSource read-set entry records resolvedAt/resolvedBindingScope/resolvedBinding/resolvedViaFallback"
TBCH-F2b,temporal-binding-consumer-hardening,test_surface.py::CompilationTests::test_resolution_trace_changes_when_the_context_does,"Finding 2 mutation probe: the recorded trace changes when the caller's active binding scope does"
